State_Name,District_Name,YEAR,Season,Crop,Area,Production,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
arunachal pradesh,east siang,2011,kharif,small millets,2303.0,3098.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,rabi,wheat,538.0,1181.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,dry chillies,213.0,246.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,dry ginger,893.0,8737.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,oilseeds total,4826.0,5070.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,potato,787.0,6815.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,sugarcane,241.0,9680.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2011,whole year,turmeric,197.0,398.0,40.0,51.3,174.5,240.8,219.6,288.4,531.4,277.6,286.7,51.9,16.2,15.2
arunachal pradesh,east siang,2012,kharif,maize,4050.0,8100.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,kharif,rice,16770.0,27098.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,kharif,small millets,2461.0,3116.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,rabi,wheat,5.0,11.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,whole year,dry chillies,214.0,236.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,whole year,dry ginger,988.0,9049.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,whole year,oilseeds total,5075.0,4784.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,whole year,potato,875.0,5675.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
arunachal pradesh,east siang,2012,whole year,sugarcane,95.0,950.0,57.8,35.8,134.2,403.4,187.4,645.8,638.9,316.0,724.9,248.1,22.0,26.2
